id,source_type,source_text,period_start,period_end,timezone,purpose,evidence_quote,claim_kind,modality,status,event_date,date_role,time_basis,decision,annotator,notes
explicit_completed_in_period_01,document,2026-08-20，示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
explicit_completed_outside_period_01,meeting,2026-02-06，示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
planned_deadline_in_period_01,chat,示例项目01 计划于 2026-08-22 完成接口验收，目前尚未开始。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
target_horizon_in_period_01,timeline,示例项目01 的目标是在 2026-08-23 前把处理耗时降低 20%。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
observation_time_only_01,work_memory,示例项目01 仍处于建设中，正文没有提供启动或完成日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
revision_date_distracts_historical_event_01,data_snapshot,文档修订日期：2026-08-20。历史回顾：2026-02-06，示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
meeting_date_with_prior_completion_01,document,会议时间：2026-08-20。会上回顾，示例项目01 已于 2026-02-06 完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
meeting_context_inherited_completion_01,meeting,"会议时间：2026-08-20。
本周进展
- 示例项目01 已完成接口验收。",2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
mixed_document_target_is_historical_01,chat,2026-08-19，另一事项完成评审。2025-12-01，示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
old_document_contains_new_event_01,timeline,文档创建于 2025-10-30。新增记录：2026-08-21，示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
annual_forecast_without_event_01,work_memory,示例项目01 预计全年可节省 120 万元，当前为测算目标。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
current_completed_status_without_change_date_01,data_snapshot,示例项目01 当前状态为已完成，但资料没有说明完成日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
relative_this_week_with_meeting_anchor_01,document,会议时间：2026-08-20。本周 示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
relative_previous_month_with_anchor_01,meeting,会议时间：2026-08-20。上月 示例项目01 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
conflicting_event_dates_01,chat,记录甲称 2026-08-20 示例项目01 完成验收；记录乙称该事项在 2026-08-25 才完成。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
cumulative_metric_not_period_progress_01,timeline,截至 2026-08-20，示例项目01 累计节省 120 万元。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
actual_metric_in_period_for_metric_section_01,work_memory,统计周期 2026-08-20，示例项目01 当日处理量为 120 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
revision_date_only_for_target_01,data_snapshot,修订日期：2026-08-20。示例项目01 的年度目标是降低处理耗时。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
deadline_in_period_still_pending_01,document,示例项目01 截止日期为 2026-08-21，目前仍在建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
cancelled_status_change_in_period_01,meeting,2026-08-22，团队决定取消 示例项目01。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
blocked_status_change_in_period_01,chat,2026-08-21，示例项目01 因外部依赖进入阻塞状态。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
relative_time_without_anchor_01,timeline,上周 示例项目01 已完成接口验收，但资料没有发布日期或会议日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
hallucinated_quote_01,work_memory,2026-08-20，示例项目01 仍在建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
status_semantic_enhancement_01,data_snapshot,2026-08-20，示例项目01 正在推进接口设计。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
historical_claim_for_background_task_01,document,2025-12-01，示例项目01 完成了首版架构设计。,2026-08-17,2026-08-23,Asia/Shanghai,background,,,,,,,,,,
target_metric_for_metric_section_01,meeting,示例项目01 的年度目标处理量为 120 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
actual_metric_outside_period_01,chat,统计周期 2026-02-06，示例项目01 当日处理量为 120 万次。,2026-08-17,2026-08-23,Asia/Shanghai,metric,,,,,,,,,,
publication_date_not_event_date_01,timeline,发布日期：2026-08-20。示例项目01 当前处于建设中。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
decision_made_in_period_01,work_memory,2026-08-19，团队决定 示例项目01 采用新的缓存策略。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
historical_decision_outside_period_01,data_snapshot,2026-02-05，团队决定 示例项目01 采用新的缓存策略。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
explicit_completed_in_period_02,document,2026-08-20，示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
explicit_completed_outside_period_02,meeting,2026-02-06，示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
planned_deadline_in_period_02,chat,示例项目02 计划于 2026-08-22 完成接口验收，目前尚未开始。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
target_horizon_in_period_02,timeline,示例项目02 的目标是在 2026-08-23 前把处理耗时降低 20%。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
observation_time_only_02,work_memory,示例项目02 仍处于建设中，正文没有提供启动或完成日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
revision_date_distracts_historical_event_02,data_snapshot,文档修订日期：2026-08-20。历史回顾：2026-02-06，示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
meeting_date_with_prior_completion_02,document,会议时间：2026-08-20。会上回顾，示例项目02 已于 2026-02-06 完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
meeting_context_inherited_completion_02,meeting,"会议时间：2026-08-20。
本周进展
- 示例项目02 已完成接口验收。",2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
mixed_document_target_is_historical_02,chat,2026-08-19，另一事项完成评审。2025-12-01，示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
old_document_contains_new_event_02,timeline,文档创建于 2025-10-30。新增记录：2026-08-21，示例项目02 已完成接口验收。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
annual_forecast_without_event_02,work_memory,示例项目02 预计全年可节省 121 万元，当前为测算目标。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
current_completed_status_without_change_date_02,data_snapshot,示例项目02 当前状态为已完成，但资料没有说明完成日期。,2026-08-17,2026-08-23,Asia/Shanghai,period_progress,,,,,,,,,,
